"Baofeng BF-888C, 2 bucati in set,noi.","BAOFENG BF888S – миниатюрная рация с дальностью связи до 7 километров. Устройство оснащено емким аккумулятором 1500 мАч, что гарантирует до 10 часов автономной работы рации на одном заряде аккумулятора. Благодаря компактным габаритам и весу всего в 150 грамм, устройство всегда можно взять с собой в путешествие, на охоту или рыбалку.

radar.png
РАДИУС ДЕЙСТВИЯ 7 КИЛОМЕТРОВ
Рация способна принимать и передавать сигнал в радиусе 7 километров, что позволяет использовать ее как во время путешествий, так и для организации связи на больших производственных объектах.

voice.png
АКТИВАЦИЯ ГОЛОСОМ
Функция активации голосом позволяет вести диалог с вашим собеседником, не занимая при этом руки. Данный режим может пригодиться автомобилистам или любителям активного отдыха.

Аккумулятор.png
ЁМКИЙ АККУМУЛЯТОР
Аккумулятор ёмкостью 1500 мАч гарантирует автономную работу устройства до 10 часов.

irlight.png
LED-ФОНАРИК
Встроенный светодиод позволяет использовать рацию как фонарик.

крепление.png
КРЕПЛЕНИЕ НА ПОЯС
В комплектацию BAOFENG BF888S входит специальное крепление на пояс, благодаря которому вы сможете удобно закрепить рацию на вашем ремне или нагрудном кармане.

compact.png
КОМПАКТНОСТЬ И УДОБСТВО
Рация выполнена в компактных габаритах и весит всего 150 грамм. Она не занимает много места и не мешается во время путешествия или работы.


ХАРАКТЕРИСТИКИ
Технические характеристики Радиостанция Baofeng BF-888S
Тип товараРадиостанция
Частоты400-480 МГц
Аккумулятор, мАч1500
Шаг частот2.5 / 5 / 6.25 / 10 / 12.5 / 20 / 25 / 50 кГц
Подключение гарнитурыДа
Голосовая активация VOXДа
Сканирование каналовДа
МодуляцияFM
ФонарикДа
Возможность замены антенныЕсть
Мощность2 Вт
Количество каналов16
Рабочая температура ?От -20 C до +60 C
ПитаниеLi-Pol аккумулятор
Время работы10 часов
Количество устройств1 рация
Дальность действиядо 7 км
Сопротивление антенны50 Ом
Поддержка кодированияCTCSS / DCS
ФункцииПрограммирование с компьютера / Функция ""нажми и говори"" (PTT) / Скремблер / Таймер разговора", 650 
"se vinde 11 ratii kirisun +aparat de casa si licentza in transport. Se vinde SRL, firma de TAXI. Det","se vinde 11 ratii kirisun +aparat de casa si licentza in transport. Se vinde SRL, firma de TAXI. Detalii la telefonul: 069227730", 1 200 
Куплю рации.,КУПЛЮ РАЦИИ, 40 
Stop!    Statii Radio Motorola,"Statiile Radio Portabile – produsul acesta este simplu, comod, compact și ieftin, care poate fi usor folosit de intreaga familie. Aparatul poate fi utilizat într-un magazin, pe plajă, în pădure, în vacanță, astfel încât copilul dvs va fi întotdeauna în contact și nu se va pierde printre oameni.

", 930 
Алан Антенны. ремонт,АЛАН.Антенны РЕМОНТ, договорная 
Радиостанция Baofeng UV-82 - Топовая модель 2019 года!,"Портативная двухдиапазонная радиостанция Baofeng UV-82 – новая, усовершенствованная модель Baofeng UV-5R.. Она обладает, по сравнению с предыдущими моделями, непревзойденным техническим параметром : благодаря двойной кнопке РТТ стало проще реализовывать сеанс связи. Для передачи по каналу А надо удерживать кнопку сверху, для работы с другим каналом( В) – нижнюю Портативная двухдиапазонная радиостанция Baofeng UV-82 – новая, усовершенствованная модель Baofeng UV-5R.. На выбор можно изменять подсветку дисплея (имеются 3 цвета), гарнитуры подходят от KENWOOD. Аккумулятор увеличенной емкости (2800 mAh).. Из основных функций Baofeng UV-82 присутствует голосовая активация передачи (VOX), экономия батареи, благодаря чему Вы сможете оставаться на связи максимально долго. 

ХАРАКТЕРИСТИКИ:
Двух-диапазонный переносной приёмник-передатчик 
FM-радио приёмник (65 МГц – 108 МГц)
Частотный и канальный режимы
Поддержка сигналов DTMF
Функция VOX Функция Alarm (тревога)
128 ячеек памяти
Программируемый цвет подсветки дисплея и время её включения.
Функция «бипп» на клавиатуре.
Одновременный приём двух разных частот
Выбираемый шаг изменения частоты: 
Функция «BCLO» (Busy Channel Lockout) (запрет передачи, если на данной частоте уже идёт передача)
Встроенный светодиодный фонарик
Одновременный приём на разных диапазонах
Тон окончания передачи
 Диапазон частот: 136-174 МГц и 400-520 МГц
Количество каналов:128
Напряжение питания: 7,4 В постоянного тока  20%
Диапазон рабочих температур: от -20С до +50С
Габариты: 116x53x35 мм
Вес: 280 г

Комплектация:
Радиостанция
Антенна
Батарея-аккумулятор
Гарнитура
Ускоренное зарядное устройство
Клипса крепления

Одна штука = 950 лей
Две штуки = 1800 лей", 900 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 650 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
"Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная новые","Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная новые

Технические характеристики Baofeng UV-5R

*Диапазон: FM: 65-108 МГц (прием)
*VHF: 136-174 МГц (прием/передача) - можно расширить до 127-180 МГц
*UHF: 400-480 МГц (прием/передача) - можно расширить до 380-524 МГц
*Количество каналов 128
*СTCSS коды
*DCS коды
*Шаг частотной сетки, кГц: 2,5/5/6.25/10/12.5/20/25/50 кГц
*Чувствительность приемника 0,2 мкВ
*Сопротивление антенны 50 Ом
*Режимы работы симплексный или полу-дуплексный
*Тип модуляции FM
*Выходная мощность звука 1 Вт
*Li-Ion аккумулятор 1800 mA DC 7.4 В
*Средняя выходная мощность передатчика 5 Вт/1 Вт (переключается)
*Радиус действия со штатной антенной (город 3-6 км, прямая видимость более 10 км)
*Прослушивание двух частот одновременно
*Отключаемый щумоподавитель для прослушивания слабых сигналов
*Режим экономии энергии
*Звуковой сигнал при нажатии кнопок
*Голосовое озвучивание нажатых кнопок на английском или китайском
*3 режима сканирование по каналам или частотам
*Возможность подключения гарнитуры
*Возможно изменять настройки или список каналов с компьютера (при наличии кабеля программирования)
*Поддерживается разнос частот приемника и передатчика при работе через репитеры.
*Подсветка ЖКИ дисплея (3 цвета) и клавиатуры
*VOX функция автоматического включения передачи при начале разговора
*FM-радиоприемник
*Светодиодный фонарик (з режима:выкл,горит,мигает)
*Размеры, мм: 100 х 52 x 32
*Вес: 250 грамм (с антенной)

Комплект поставки
Радиостанция Baofeng UV-5R
Аккумулятор 7,4 В 1800 mA
Антенна
Клипса
Гарнитура РТТ
Руководства пользователя 
Зарядная станция
   
Все Новое в коробке !", 595 
Продаются радиостанции kenwood yaesu matorola  vhf: 136-174 мгц uhf: 400-480 мгц антена бу,Продаются радиостанции KENWOOD YAESU MATOROLA  VHF: 136-174 МГц UHF: 400-480 МГц АНТЕНА БУ, договорная 
Hytera PD 605,"ProGlobal Work partener oficial Hytera in Moldova!
", 240 
